Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
351380105000263;1;0;457605;457605;0;0;2;25;77;91;17;9;3;0;6;
351380105000264;1;0;115513;115513;0;2;8;16;45;15;1;0;0;0;4;
351380105000265;1;0;585389;585389;0;4;20;77;128;116;19;9;0;0;56;
351380105000266;1;0;83391;83391;0;1;0;13;28;11;2;0;0;0;0;
351380105000267;1;0;51718;51718;0;2;7;16;15;6;0;2;0;0;21;
351380105000268;1;0;294027;294027;0;0;8;17;30;42;9;7;2;1;17;
351380105000269;1;0;21470;21470;0;0;0;2;4;5;4;0;0;0;1;
351380105000270;1;1;432575;432075;500;0;7;30;84;89;24;10;3;0;8;
351380105000271;1;0;699985;699985;0;2;6;61;141;129;26;8;3;1;7;
351380105000272;1;0;30365;30365;0;0;0;6;6;5;0;1;0;0;3;
351380105000273;1;0;639406;639406;0;2;13;86;159;111;23;10;0;1;20;
351380105000274;1;0;372530;372530;0;2;3;57;85;71;11;4;0;0;8;
351380105000275;1;0;224717;224717;0;1;9;50;69;41;5;1;0;0;7;
351380105000276;1;0;380454;380454;0;2;12;25;78;72;19;7;0;1;45;
351380105000277;1;1;212690;211840;850;1;3;16;38;50;11;5;0;0;6;
351380105000278;1;0;192794;192794;0;1;5;21;51;37;8;0;0;0;9;
351380105000279;1;0;615921;615921;0;4;13;64;104;123;21;13;2;0;24;
351380105000280;1;0;69433;69433;0;2;7;6;23;8;2;1;0;0;3;
351380105000281;1;0;159593;159593;0;0;8;14;30;37;5;4;0;0;5;
351380105000282;1;0;358623;358623;0;5;11;37;85;71;17;4;0;0;22;
351380105000283;1;0;270464;270464;0;0;9;38;64;38;13;4;1;0;29;
351380105000284;1;0;172932;172932;0;0;6;16;49;39;2;2;0;1;3;
351380105000285;1;0;309834;309834;0;6;12;55;110;57;1;0;0;0;3;
351380105000286;1;0;444542;444542;0;9;19;84;150;78;8;1;0;0;6;
351380105000287;1;0;235326;235326;0;4;6;22;68;62;5;1;0;0;7;
351380105000288;1;0;94522;94522;0;1;5;16;24;19;1;1;0;0;1;
351380105000289;1;0;393482;393482;0;4;19;69;128;68;4;1;0;0;4;
351380105000290;1;0;319662;319662;0;2;7;48;68;64;10;6;1;0;45;
351380105000291;1;0;124675;124675;0;1;2;9;36;21;1;1;1;0;3;
351380105000292;1;0;690828;690828;0;1;15;66;142;147;27;8;1;0;3;
351380105000293;1;0;402018;402018;0;1;14;41;95;61;13;9;2;0;2;
351380105000294;1;0;298939;298939;0;1;9;44;62;41;17;6;1;0;23;
351380105000295;1;0;330424;330424;0;0;20;74;103;50;6;2;1;0;8;
351380105000296;1;0;343141;343141;0;4;11;64;93;61;10;2;1;0;30;
351380105000297;1;0;315837;315837;0;3;7;27;68;62;9;6;2;0;28;
351380105000298;1;0;543756;543756;0;0;3;32;91;111;29;10;3;1;8;
351380105000299;1;0;388053;388053;0;0;9;29;82;85;26;7;0;0;8;
351380105000300;1;0;109441;109441;0;0;4;13;25;29;1;0;0;0;7;
351380105000301;1;0;296518;296518;0;0;7;18;61;57;7;2;1;0;3;
